1904;s;12;651;;St. Louis;United States of America
1900;s;24;997;;Paris;France
1896;s;14;241;;Athens;Greece
1948;s;59;4099;;London;United Kingdom
1932;w;17;251;;Lake Placid;United States of America
1964;w;36;1091;;Innsbruck;Austria
2016;s;;;;Rio de Janeiro;Brazil
1980;s;80;5179;;Moscow;Soviet Union
1972;s;121;7170;;Munich;West Germany
1928;w;25;464;;St. Moritz;Switzerland
1928;s;46;3014;;Amsterdam;Netherlands
1972;w;35;1006;;Sapporo;Japan
1912;s;28;2407;;Stockholm;Sweden
1906;s;20;903;;Athens;Greece
1976;w;37;1123;;Innsbruck;Austria
1984;s;140;6797;;Los Angeles;United States of America
1952;s;69;4925;;Helsinki;Finland
1960;w;30;665;;Squaw Valley;United States of America
1936;s;49;3963;;Berlin;Germany
2010;w;82;2632;87;Vancouver;Canada
1988;w;57;1423;;Calgary;Canada
1964;s;93;5140;;Tokyo;Japan
1948;w;28;669;;St. Moritz;Switzerland
2000;s;199;10651;300;Sydney;Australia
1988;s;159;8465;;Seoul;South Korea
1968;w;37;1158;;Grenoble;France
1996;s;197;10320;;Atlanta;United States of America
2004;s;201;11099;;Athens;Greece
1956;s;67;3184;;Melbourne;Australia
2002;w;77;2399;;Salt Lake City;United States of America
1936;w;28;646;;Garmisch-Partenkirchen;Austria
1924;s;44;3089;;Paris;France
1956;w;32;821;;Cortina d'Ampezzo;Italy
2014;w;;;;Sochi;Russia
1980;w;37;1072;38;Lake Placid;United States of America
1976;s;92;6028;;Montreal;Canada
1960;s;83;5348;;Rome;Italy
1908;s;22;2008;;London;United Kingdom
1920;s;29;2626;154;Antwerp;Netherlands
1952;w;30;694;;Oslo;Norway
1968;s;112;5530;;Mexico City;Mexico
1992;s;169;9956;;Barcelona;Spain
1998;w;72;2176;;Nagano;Japan
2008;s;;10500;;Beijing;China
1994;w;67;1737;;Lillehammer;Norway
1992;w;64;1801;;Albertville;France
2012;s;;;;London;United Kingdom
2006;w;80;2663;;Turin;Italy
1984;w;49;1272;;Sarajevo;Yugoslavia
1932;s;37;1408;;Los Angeles;United States of America
1924;w;16;258;;Chamonix;France
